행정구역,2015년12월_남자 평균연령,2015년12월_여자 평균연령,2015년12월_평균연령,2016년12월_남자 평균연령,2016년12월_여자 평균연령,2016년12월_평균연령,2017년12월_남자 평균연령,2017년12월_여자 평균연령,2017년12월_평균연령,2018년12월_남자 평균연령,2018년12월_여자 평균연령,2018년12월_평균연령,2019년12월_남자 평균연령,2019년12월_여자 평균연령,2019년12월_평균연령,2020년12월_남자 평균연령,2020년12월_여자 평균연령,2020년12월_평균연령,2021년12월_남자 평균연령,2021년12월_여자 평균연령,2021년12월_평균연령,2022년12월_남자 평균연령,2022년12월_여자 평균연령,2022년12월_평균연령,2023년12월_남자 평균연령,2023년12월_여자 평균연령,2023년12월_평균연령
전국  (1000000000),39.3,41.7,40.5,39.8,42.2,41,40.4,42.7,41.5,40.9,43.2,42.1,41.5,43.8,42.6,42,44.3,43.2,42.6,44.8,43.7,43.1,45.3,44.2,43.7,45.9,44.8
서울특별시  (1100000000),39.8,41.5,40.6,40.3,42,41.2,40.7,42.5,41.6,41.3,43,42.2,41.8,43.5,42.7,42.3,44,43.2,42.7,44.3,43.6,43.1,44.7,44,43.6,45.2,44.4
부산광역시  (2600000000),41,43.5,42.3,41.5,44,42.8,42,44.6,43.3,42.6,45.2,43.9,43.2,45.8,44.5,43.8,46.3,45.1,44.3,46.8,45.6,44.8,47.3,46.1,45.3,47.9,46.6
대구광역시  (2700000000),39.2,42,40.6,39.7,42.5,41.1,40.3,43,41.7,40.8,43.6,42.2,41.4,44.2,42.9,42.1,44.9,43.5,42.6,45.4,44.1,43.2,46,44.6,43.9,46.7,45.3
인천광역시  (2800000000),38.5,40.3,39.4,39,40.8,39.9,39.5,41.4,40.5,40.1,42,41.1,40.7,42.6,41.6,41.3,43.3,42.3,41.9,43.8,42.8,42.4,44.3,43.3,42.9,44.8,43.8
광주광역시  (2900000000),37.3,39.7,38.5,37.9,40.2,39,38.4,40.8,39.6,39,41.4,40.2,39.6,41.9,40.8,40.2,42.5,41.4,40.7,43,41.9,41.2,43.6,42.4,41.8,44.3,43.1
대전광역시  (3000000000),37.9,39.9,38.9,38.4,40.5,39.5,39,41.1,40,39.6,41.7,40.7,40.2,42.4,41.3,40.8,43,41.9,41.4,43.5,42.4,41.8,44,42.9,42.3,44.6,43.5
울산광역시  (3100000000),37.5,39.3,38.4,38,39.9,38.9,38.6,40.5,39.5,39.3,41.1,40.2,39.9,41.8,40.9,40.7,42.6,41.6,41.3,43.3,42.3,42,44,43,42.7,44.7,43.7
세종특별자치시  (3600000000),36.2,37.8,37,36.1,37.5,36.8,36,37.3,36.7,36.1,37.3,36.7,36.4,37.5,36.9,36.8,37.9,37.3,37.2,38.3,37.7,37.6,38.6,38.1,38.1,39.1,38.6
경기도  (4100000000),37.9,39.6,38.8,38.4,40.1,39.3,38.9,40.6,39.8,39.5,41.2,40.3,40,41.7,40.8,40.5,42.3,41.4,41,42.8,41.9,41.5,43.3,42.4,42.1,43.9,43
강원도  (4200000000),41.3,44.5,42.9,41.9,45,43.5,42.5,45.6,44.1,43.2,46.2,44.7,43.8,46.8,45.3,44.4,47.4,45.9,44.9,48,46.4,45.5,48.5,47,,,
강원특별자치도  (5100000000),,,,,,,,,,,,,,,,,,,,,,,,,46.1,49.1,47.6
충청북도  (4300000000),40,42.7,41.3,40.5,43.2,41.8,41,43.7,42.4,41.6,44.3,42.9,42.1,44.9,43.5,42.7,45.5,44.1,43.3,46.1,44.7,43.9,46.6,45.2,44.4,47.1,45.8
충청남도  (4400000000),40.2,43.1,41.6,40.7,43.5,42.1,41.1,43.9,42.5,41.6,44.4,43,42.2,45,43.6,42.8,45.6,44.2,43.4,46.2,44.8,43.9,46.7,45.3,44.5,47.2,45.8
전라북도  (4500000000),40.9,44.2,42.5,41.4,44.7,43.1,42,45.2,43.6,42.6,45.8,44.3,43.3,46.5,44.9,44,47.2,45.6,44.6,47.8,46.2,45.2,48.3,46.8,45.8,48.9,47.4
전라남도  (4600000000),42.1,45.9,44,42.6,46.4,44.5,43.1,46.9,45,43.7,47.4,45.6,44.3,48,46.2,44.9,48.7,46.8,45.6,49.3,47.4,46.2,49.8,48,46.8,50.3,48.5
경상북도  (4700000000),41.5,45.1,43.3,42,45.6,43.8,42.6,46.1,44.3,43.2,46.7,44.9,43.8,47.4,45.6,44.5,48.1,46.3,45.1,48.7,46.9,45.8,49.3,47.5,46.3,49.8,48
경상남도  (4800000000),39.3,42.4,40.8,39.8,42.9,41.3,40.4,43.4,41.9,41,44,42.5,41.7,44.6,43.1,42.4,45.4,43.9,43.1,46,44.5,43.8,46.7,45.2,44.5,47.4,45.9
제주특별자치도  (5000000000),38.7,41.5,40.1,39.2,41.9,40.5,39.6,42.2,40.9,40.1,42.6,41.3,40.6,43.1,41.9,41.2,43.6,42.4,41.7,44.1,42.9,42.2,44.6,43.4,42.9,45.2,44
